영화코드,영화명,개봉일,장르,대표장르,국가,대표국가
20030272,4월 이야기,20000408,"멜로/로맨스,드라마",멜로/로맨스,일본,일본
20030316,반지의 제왕 : 왕의 귀환,20031217,"판타지,어드벤처",판타지,미국,미국
20030350,올드보이,20031121,스릴러,스릴러,한국,한국
20030371,태극기 휘날리며,20040205,"전쟁,드라마",전쟁,한국,한국
20030401,바람계곡의 나우시카,20001230,"애니메이션,어드벤처,판타지,SF",애니메이션,일본,일본
20030404,러브 액츄얼리,20031205,"멜로/로맨스,드라마,코미디",멜로/로맨스,"미국,영국",미국
20030408,해피 에로 크리스마스,20031217,드라마,드라마,한국,한국
20030410,실미도,20031224,전쟁,전쟁,한국,한국
20030413,목포는 항구다,20040220,"드라마,코미디",드라마,한국,한국
20030420,동해물과 백두산이,20031231,코미디,코미디,한국,한국
20030426,더 캣,20031231,"판타지,어드벤처",판타지,미국,미국
20030430,라스트 사무라이,20040109,액션,액션,미국,미국
20030433,말죽거리 잔혹사,20040116,"액션,멜로/로맨스",액션,한국,한국
20030434,안녕! 유에프오,20040130,드라마,드라마,한국,한국
20030435,내사랑 싸가지,20040116,코미디,코미디,한국,한국
20030436,브라더 베어,20040116,드라마,드라마,미국,미국
20030437,런어웨이,20040130,스릴러,스릴러,미국,미국
20030439,그녀를 모르면 간첩,20040130,코미디,코미디,한국,한국
20030440,자토이치,20040130,액션,액션,일본,일본
20040441,빙우,20040116,드라마,드라마,한국,한국
20040442,피터 팬,20040116,"어드벤처,가족,판타지",어드벤처,미국,미국
20040443,페이첵,20040122,액션,액션,미국,미국
20040446,그녀를 믿지 마세요,20040220,코미디,코미디,한국,한국
20040447,스쿨 오브 락,20040227,코미디,코미디,영국,영국
20040448,타임라인,20040227,SF,SF,미국,미국
20040455,무간도3: 종극무간,20040702,드라마,드라마,홍콩,홍콩
20040456,어깨동무,20040312,코미디,코미디,한국,한국
20040459,스파이 키드 3D,20040213,액션,액션,미국,미국
20040460,열두명의 웬수들,20040213,코미디,코미디,미국,미국
20040461,콜드 마운틴,20040220,전쟁,전쟁,미국,미국
20040462,빅 피쉬,20040305,판타지,판타지,미국,미국
20040464,8명의 여인들,20040227,코미디,코미디,프랑스,프랑스
20040467,사랑할 때 버려야 할 아까운 것들,20040213,코미디,코미디,미국,미국
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,20040312,코미디,코미디,한국,한국
20040472,귀여워,20041126,"드라마,코미디",드라마,한국,한국
20040476,사랑도 통역이 되나요?,20040220,"멜로/로맨스,액션",멜로/로맨스,미국,미국
20040479,휴먼 스테인,20040305,드라마,드라마,미국,미국
20040481,어린 신부,20040402,코미디,코미디,한국,한국
20040482,맹부삼천지교,20040326,코미디,코미디,한국,한국
20040483,효자동 이발사,20040505,드라마,드라마,한국,한국
20040484,하류인생,20040521,액션,액션,한국,한국
20040486,마지막 늑대,20040401,코미디,코미디,한국,한국
20040487,범죄의 재구성,20040415,스릴러,스릴러,한국,한국
20040488,아라한 장풍대작전,20040430,"액션,드라마",액션,한국,한국
20040489,여자는 남자의 미래다,20040505,드라마,드라마,한국,한국
20040490,투모로우,20040603,SF,SF,미국,미국
20040491,스파이더맨 2,20040630,SF,SF,미국,미국
20040496,아홉살 인생,20040326,드라마,드라마,한국,한국
20040498,그놈은 멋있었다,20040722,코미디,코미디,한국,한국
20040499,저지 걸,20040409,멜로/로맨스,멜로/로맨스,미국,미국
20040505,사마리아,20040305,드라마,드라마,한국,한국
20040506,허니,20040326,드라마,드라마,미국,미국
20040509,모나리자 스마일,20040319,드라마,드라마,미국,미국
20040512,헌티드,20040312,액션,액션,미국,미국
20040514,바람의 전설,20040409,드라마,드라마,한국,한국
20040515,인어 공주,20040630,드라마,드라마,한국,한국
20040519,히달고,20040319,액션,액션,미국,미국
20040521,더티 댄싱 - 하바나 나이트,20040423,멜로/로맨스,멜로/로맨스,미국,미국
20040522,폴리와 함께,20040402,멜로/로맨스,멜로/로맨스,미국,미국
20040524,테이킹 라이브즈,20040415,스릴러,스릴러,미국,미국
20040525,패션 오브 크라이스트,20040402,드라마,드라마,미국,미국
20040526,첫키스만 50번째,20040415,코미디,코미디,미국,미국
20040528,고티카,20040402,공포(호러),공포(호러),미국,미국
20040533,인 더 컷,20040430,스릴러,스릴러,미국,미국
20040537,라이어,20040423,"코미디,멜로/로맨스",코미디,한국,한국
20040543,스쿠비-두2 : 몬스터 대소동,20040430,코미디,코미디,미국,미국
20040544,스타스키와 허치,20040430,액션,액션,미국,미국
20040549,천공의 성 라퓨타,20040430,애니메이션,애니메이션,일본,일본
20040553,새벽의 저주,20040514,"공포(호러),스릴러",공포(호러),"미국,캐나다,일본,프랑스",미국
20040554,가족,20040903,드라마,드라마,한국,한국
20040555,트로이,20040521,사극,사극,미국,미국
20040556,킬 빌2,20040514,액션,액션,미국,미국
20040559,나두야 간다,20040625,코미디,코미디,한국,한국
20040566,슈렉2,20040618,애니메이션,애니메이션,미국,미국
20040567,투 가이즈,20040709,코미디,코미디,한국,한국
20040568,내 여자친구를 소개합니다,20040603,"멜로/로맨스,드라마",멜로/로맨스,한국,한국
20040569,디 아이2,20040526,공포(호러),공포(호러),홍콩,홍콩
20040570,옹박 - 무에타이의 후예,20040526,액션,액션,태국,태국
20040571,령,20040617,공포(호러),공포(호러),한국,한국
20040573,킹 아더,20040723,사극,사극,미국,미국
20040576,늑대의 유혹,20040722,드라마,드라마,한국,한국
20040579,블러디 선데이,20040618,드라마,드라마,영국,영국
20040580,반 헬싱,20040730,액션,액션,미국,미국
20040581,퀸카로 살아남는 법,20040903,코미디,코미디,미국,미국
20040582,내 남자 친구는 왕자님,20040618,멜로/로맨스,멜로/로맨스,미국,미국
20040583,아는 여자,20040625,드라마,드라마,한국,한국
20040585,내 남자의 로맨스,20040716,드라마,드라마,한국,한국
20040588,레이디킬러,20040604,코미디,코미디,미국,미국
20040589,페이스,20040611,공포(호러),공포(호러),한국,한국
20040591,데스티네이션 2,20040611,공포(호러),공포(호러),미국,미국
20040592,몬스터,20040618,드라마,드라마,독일,독일
20040593,분신사바,20040805,공포(호러),공포(호러),한국,한국
20040595,"달마야, 서울 가자",20040709,코미디,코미디,한국,한국
20040596,바람의 파이터,20040812,액션,액션,한국,한국
20040597,"아이, 로봇",20040730,SF,SF,미국,미국
20040598,해리포터와 아즈카반의 죄수,20040716,드라마,드라마,미국,미국
20040600,프레디 대 제이슨-13일의 금요일11,20040827,공포(호러),공포(호러),미국,미국
20040605,착신아리,20040709,공포(호러),공포(호러),일본,일본
20040608,거미숲,20040903,"미스터리,범죄",미스터리,한국,한국
20040610,화씨 911,20040722,다큐멘터리,다큐멘터리,미국,미국
20040612,신부수업,20040805,"드라마,멜로/로맨스",드라마,한국,한국
20040613,알포인트,20040820,전쟁,전쟁,한국,한국
20040614,인형사,20040730,공포(호러),공포(호러),한국,한국
20040615,본 슈프리머시,20040820,액션,액션,미국,미국
20040616,가필드,20040819,코미디,코미디,미국,미국
20040617,시실리 2km,20040813,코미디,코미디,한국,한국
20040618,리딕 - 헬리온 최후의 빛,20040813,SF,SF,미국,미국
20040619,슈퍼스타 감사용,20040917,드라마,드라마,한국,한국
20040623,헬보이,20040820,SF,SF,미국,미국
20040624,누구나 비밀은 있다,20040730,"코미디,멜로/로맨스",코미디,한국,한국
20040625,얼굴 없는 미녀,20040806,스릴러,스릴러,한국,한국
20040628,우리 형,20041008,드라마,드라마,한국,한국
20040631,터미널,20040827,드라마,드라마,미국,미국
20040637,쓰리 몬스터,20040820,공포(호러),공포(호러),"한국,홍콩,일본",한국
20040638,텍사스 전기톱 연쇄살인사건,20050616,공포(호러),공포(호러),미국,미국
20040640,연인,20040910,"멜로/로맨스,액션",멜로/로맨스,중국,중국
20040641,S 다이어리,20041022,코미디,코미디,한국,한국
20040642,80일간의 세계 일주,20040917,"코미디,드라마,어드벤처,액션",코미디,미국,미국
20040648,에이리언 VS 프레데터,20040903,SF,SF,미국,미국
20040649,귀신이 산다,20040917,"코미디,공포(호러),판타지",코미디,한국,한국
20040650,빌리지,20040924,공포(호러),공포(호러),미국,미국
20040651,꽃피는 봄이 오면,20040923,드라마,드라마,한국,한국
20040655,콜래트럴,20041015,액션,액션,미국,미국
20040656,세상의 중심에서 사랑을 외치다,20041008,멜로/로맨스,멜로/로맨스,일본,일본
20040657,여선생 VS 여제자,20041117,코미디,코미디,한국,한국
20040658,썸,20041022,스릴러,스릴러,한국,한국
20040659,돈 텔 파파,20040903,코미디,코미디,한국,한국
20040669,캣우먼,20040924,액션,액션,미국,미국
20040670,맨 온 파이어,20040924,액션,액션,미국,미국
20040671,주홍글씨,20041029,"스릴러,멜로/로맨스",스릴러,한국,한국
20040672,발레 교습소,20041203,드라마,드라마,한국,한국
20040673,내 머리 속의 지우개,20041105,멜로/로맨스,멜로/로맨스,한국,한국
20040676,스텝포드 와이프,20041001,코미디,코미디,미국,미국
20040680,21 그램,20041023,드라마,드라마,미국,미국
20040682,역도산,20041215,드라마,드라마,한국,한국
20040685,프린세스 다이어리 2,20041029,멜로/로맨스,멜로/로맨스,미국,미국
20040687,아나콘다2 : 사라지지 않는 저주,20050415,공포(호러),공포(호러),미국,미국
20040688,빈집,20041015,드라마,드라마,한국,한국
20040689,비포 선셋,20041022,드라마,드라마,미국,미국
20040690,2046,20041015,드라마,드라마,홍콩,홍콩
20040694,완벽한 그녀에게 딱 한가지 없는 것,20041105,코미디,코미디,미국,미국
20040695,이프 온리,20041029,"멜로/로맨스,판타지",멜로/로맨스,미국,미국
20040696,레지던트 이블 2-아포칼립스,20041105,액션,액션,미국,미국
20040698,쉘 위 댄스,20041112,드라마,드라마,미국,미국
20040700,나비효과,20041112,드라마,드라마,미국,미국
20040702,윔블던,20050325,드라마,드라마,영국,영국
20040704,하나와 앨리스,20041117,드라마,드라마,일본,일본
20040705,월드 오브 투모로우,20050114,SF,SF,미국,미국
20040706,알렉산더,20041231,"전쟁,드라마",전쟁,미국,미국
20040711,화이트 칙스,20041117,코미디,코미디,미국,미국
20040715,포가튼,20041203,스릴러,스릴러,미국,미국
20040716,모터사이클 다이어리,20041112,드라마,드라마,영국,영국
20040717,블레이드 3,20041215,액션,액션,미국,미국
20040720,택시: 더 멕시멈,20041117,액션,액션,미국,미국
20040721,오페라의 유령,20041208,"뮤지컬,드라마",뮤지컬,미국,미국
20040723,사랑에 빠지는 아주 특별한 법칙,20041112,멜로/로맨스,멜로/로맨스,아일랜드,아일랜드
20040725,화양연화,20001020,"드라마,멜로/로맨스",드라마,"홍콩,프랑스",홍콩
20040731,엑소시스트: 더 비기닝,20041117,공포(호러),공포(호러),미국,미국
20040734,노트북,20041126,멜로/로맨스,멜로/로맨스,미국,미국
20040736,엘프,20041215,코미디,코미디,미국,미국
20040738,"DMZ, 비무장지대",20041126,"드라마,전쟁",드라마,한국,한국
20040741,래더 49,20050325,드라마,드라마,미국,미국
20040743,브리짓 존스의 일기2 : 열정과 애정,20041208,"멜로/로맨스,드라마",멜로/로맨스,영국,영국
20040744,샤크,20050107,"애니메이션,코미디",애니메이션,미국,미국
20040745,인크레더블,20041215,애니메이션,애니메이션,미국,미국
20040746,서바이빙 크리스마스,20041224,코미디,코미디,미국,미국
20040748,폴라 익스프레스,20041223,애니메이션,애니메이션,미국,미국
20040749,에비에이터,20050218,"드라마,어드벤처,멜로/로맨스",드라마,독일,독일
20040750,신석기 블루스,20041230,코미디,코미디,한국,한국
20040751,"여자, 정혜",20050310,드라마,드라마,한국,한국
20040752,까불지마,20041203,드라마,드라마,한국,한국
20040754,블랙아웃,20050407,스릴러,스릴러,독일,독일
20040755,내셔널 트레져,20041231,액션,액션,미국,미국
20040756,하울의 움직이는 성,20041223,애니메이션,애니메이션,일본,일본
20040761,룩 앳 미,,드라마,드라마,,
20040766,여고생 시집가기,20041223,코미디,코미디,한국,한국
20040771,레드 아이,20050218,공포(호러),공포(호러),한국,한국
20040772,역전의 명수,20050415,코미디,코미디,한국,한국
20040774,몽정기2,20050114,코미디,코미디,한국,한국
20040775,키다리 아저씨,20050114,드라마,드라마,한국,한국
20040776,쿵푸 허슬,20050114,코미디,코미디,중국,중국
20040778,마파도,20050310,코미디,코미디,한국,한국
20040779,레모니 스니켓의 위험한 대결,20050128,코미디,코미디,미국,미국
20040781,피닉스,20050204,액션,액션,미국,미국
20040785,말아톤,20050127,드라마,드라마,한국,한국
20040786,공공의 적 2,20050127,드라마,드라마,한국,한국
20040790,뉴 폴리스 스토리,20050121,액션,액션,홍콩,홍콩
20040791,엘렉트라,20050121,액션,액션,미국,미국
20040793,"제니, 주노",20050218,드라마,드라마,한국,한국
20040797,마더 데레사,20050121,드라마,드라마,이탈리아,이탈리아
20040798,클로저,20050203,"멜로/로맨스,드라마",멜로/로맨스,미국,미국
20041524,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,20140813,애니메이션,애니메이션,일본,일본
20048103,오션스 트웰브,20050107,"범죄,코미디",범죄,"호주,미국",호주
20048799,명탐정 코난:은빛 날개의 마술사,20130124,애니메이션,애니메이션,일본,일본
20050001,2005 [통합]패키지영화,,,,기타,기타
20050004,네버랜드를 찾아서,20050225,드라마,드라마,미국,미국
20050007,그때 그 사람들,20050203,"미스터리,코미디",미스터리,한국,한국
20050008,B형 남자친구,20050203,코미디,코미디,한국,한국
20050010,콘스탄틴,20050208,"드라마,액션,스릴러,판타지",드라마,미국,미국
20050011,파송송 계란탁,20050218,코미디,코미디,한국,한국
20050012,레이,20050225,드라마,드라마,미국,미국
20050013,잠복근무,20050317,"코미디,액션",코미디,한국,한국
20050014,쏘우,20050310,"스릴러,공포(호러)",스릴러,미국,미국
20050016,나인 야드 2,20050224,코미디,코미디,미국,미국
20050017,달콤한 인생,20050401,액션,액션,한국,한국
20050018,숨바꼭질,20050225,"드라마,공포(호러),스릴러",드라마,미국,미국
20050027,코러스,20050303,드라마,드라마,프랑스,프랑스
20050028,밀리언 달러 베이비,20050310,드라마,드라마,미국,미국
20050029,엄마,20050407,드라마,드라마,한국,한국
20050033,Mr.히치: 당신을 위한 데이트 코치,20050311,"멜로/로맨스,코미디",멜로/로맨스,미국,미국
20050034,미트 페어런츠2,20050415,코미디,코미디,미국,미국
20050037,호스티지,20050318,스릴러,스릴러,미국,미국
20050039,유희왕,20100128,"애니메이션,액션,어드벤처",애니메이션,일본,일본
20050042,"지금, 만나러 갑니다",20050325,"드라마,멜로/로맨스,판타지",드라마,일본,일본
20050045,"안녕, 형아",20050527,드라마,드라마,한국,한국
20050046,남극일기,20050519,스릴러,스릴러,한국,한국
20050048,미스 에이전트2 : 라스베가스 잠입사건,20050401,"액션,코미디",액션,미국,미국
20050049,주먹이 운다(Crying Fist),20050401,드라마,드라마,한국,한국
20050058,화이트 노이즈,20050408,"공포(호러),미스터리,스릴러",공포(호러),미국,미국
20050060,어바웃 러브,20050421,드라마,드라마,영국,영국
20050061,코치 카터,20050513,드라마,드라마,미국,미국
20050062,링2(2005),20050603,공포(호러),공포(호러),미국,미국
20050064,간 큰 가족,20050609,코미디,코미디,한국,한국
20050065,트리플 X2 : 넥스트 레벨,20050429,"범죄,액션,스릴러,어드벤처",범죄,미국,미국
20050069,인터프리터,20050422,"드라마,스릴러",드라마,영국,영국
20050072,착신아리2,20050429,공포(호러),공포(호러),일본,일본
20050074,밀리언즈,20050504,"코미디,드라마",코미디,영국,영국
20050076,혈의 누,20050504,스릴러,스릴러,한국,한국
20050077,댄서의 순정,20050428,드라마,드라마,한국,한국
20050078,킹덤 오브 헤븐,20050504,액션,액션,미국,미국
20050082,이터널 선샤인,20051110,멜로/로맨스,멜로/로맨스,미국,미국
20050083,연애술사,20050520,"멜로/로맨스,코미디",멜로/로맨스,한국,한국
20050084,씬 시티,20050630,"범죄,스릴러,액션",범죄,미국,미국
20050085,스타워즈 에피소드3 - 시스의복수,20050526,SF,SF,미국,미국
20050086,사과,20081016,"드라마,멜로/로맨스",드라마,한국,한국
20050087,그루지,20050526,공포(호러),공포(호러),일본,일본
20050092,"우리, 사랑일까요?",20050520,"드라마,코미디,멜로/로맨스",드라마,미국,미국
20050095,킨제이 보고서,20050513,드라마,드라마,미국,미국
20050101,하우스 오브 왁스,20050520,공포(호러),공포(호러),미국,미국
20050108,게스후,20050902,코미디,코미디,미국,미국
20050110,연애의 목적,20050610,"드라마,코미디,멜로/로맨스",드라마,한국,한국
20050112,배트맨 비긴즈,20050624,"범죄,액션,판타지",범죄,미국,미국
20050113,미스터 & 미세스 스미스,20050616,"멜로/로맨스,액션,어드벤처,스릴러",멜로/로맨스,미국,미국
20050115,사하라,20050624,"액션,어드벤처",액션,미국,미국
20050117,pm 11:14,20050602,"드라마,스릴러,범죄,코미디",드라마,미국,미국
20050126,패시파이어,20050603,"액션,코미디",액션,미국,미국
20050129,셔터,20050630,공포(호러),공포(호러),태국,태국
20050130,어썰트 13,20050707,"공포(호러),액션,드라마,범죄",공포(호러),미국,미국
20050131,아미티빌 호러,20050701,공포(호러),공포(호러),미국,미국
20050135,분홍신,20050630,공포(호러),공포(호러),한국,한국
20050137,우주전쟁,20050707,"드라마,액션,SF,스릴러",드라마,미국,미국
20050140,마다가스카,20050714,"애니메이션,코미디,어드벤처",애니메이션,미국,미국
20050141,천군,20050715,액션,액션,한국,한국
20050142,여고괴담 4 : 목소리,20050715,공포(호러),공포(호러),한국,한국
20050144,아일랜드,20050721,"SF,드라마,액션,스릴러",SF,미국,미국
20050145,판타스틱4,20050811,"액션,SF,판타지",액션,미국,미국
20050147,샤크보이와 라바걸의 모험 : 3-D,20050721,"SF,액션,판타지,가족",SF,미국,미국
20050148,친절한 금자씨,20050729,스릴러,스릴러,한국,한국
20050152,베니스의 상인,20051020,드라마,드라마,이탈리아,이탈리아
20050154,발리언트(애니),20050805,코미디,코미디,영국,영국
20050160,가발,20050812,공포(호러),공포(호러),한국,한국
20050164,더 독,20050916,"액션,스릴러",액션,프랑스,프랑스
20050168,로봇(애니),20050728,코미디,코미디,미국,미국
20050176,부기맨,20050728,공포(호러),공포(호러),미국,미국
20050178,박수칠 때 떠나라,20050811,"드라마,코미디,미스터리",드라마,한국,한국
20050179,스텔스,20050728,"액션,어드벤처,스릴러",액션,미국,미국
20050180,웰컴 투 동막골,20050804,"전쟁,드라마",전쟁,한국,한국
20050185,애프터 선셋,20050825,코미디,코미디,미국,미국
20050186,옹박 : 두번째 미션,20050818,액션,액션,태국,태국
20050189,"이대로, 죽을 순 없다(Short Time)",20050818,코미디,코미디,한국,한국
20050190,첼로-홍미주 일가 살인사건,20050818,공포(호러),공포(호러),한국,한국
20050198,인 굿 컴퍼니,20050826,"코미디,드라마",코미디,미국,미국
20050205,그녀는 요술쟁이,20050825,"코미디,멜로/로맨스,판타지",코미디,미국,미국
20050207,크림슨 리버2,20050901,"범죄,액션",범죄,"프랑스,영국,이탈리아",프랑스
20050216,형사 Duelist,20050908,"멜로/로맨스,액션",멜로/로맨스,한국,한국
20050218,랜드 오브 데드,20050902,"공포(호러),액션,스릴러",공포(호러),미국,미국
20050219,가문의 위기,20050907,코미디,코미디,한국,한국
20050220,외출,20050907,멜로/로맨스,멜로/로맨스,한국,한국
20050221,나이트 플라이트,20050909,"스릴러,액션",스릴러,미국,미국
20050222,신데렐라맨,20050915,드라마,드라마,미국,미국
20050225,찰리와 초콜릿 공장,20050916,"코미디,가족,판타지",코미디,미국,미국
20050228,보글보글 스폰지밥(애니),20050930,"애니메이션,코미디",애니메이션,미국,미국
20050229,4 브라더스,20051014,"액션,드라마,범죄",액션,미국,미국
20050232,내 생애 가장 아름다운 일주일,20051007,멜로/로맨스,멜로/로맨스,한국,한국
20050233,강력 3반,20050929,액션,액션,한국,한국
20050237,미스터 주부퀴즈왕,20050930,코미디,코미디,한국,한국
20050238,칠검,20050929,액션,액션,홍콩,홍콩
20050239,너는 내 운명,20050923,멜로/로맨스,멜로/로맨스,한국,한국
20050245,사랑니,20050929,멜로/로맨스,멜로/로맨스,한국,한국
20050249,날 미치게하는 남자,20051007,"코미디,멜로/로맨스,드라마",코미디,미국,미국
20050250,당신이 사랑하는 동안에,20051013,"드라마,멜로/로맨스,스릴러",드라마,미국,미국
20050253,유령신부(애니),20051103,"애니메이션,드라마,멜로/로맨스,판타지",애니메이션,영국,영국
20050254,퍼펙트 웨딩(몬스터 인 로),20051020,코미디,코미디,미국,미국
20050255,플라이트 플랜,20051118,드라마,드라마,미국,미국
20050256,새드무비,20051020,드라마,드라마,한국,한국
20050257,케이브,20051020,드라마,드라마,독일,독일
20050258,신화 : 진시황릉의 비밀,20051013,"액션,어드벤처,판타지",액션,홍콩,홍콩
20050259,트랜스포터 엑스트림,20051020,액션,액션,미국,미국
20050261,야수와 미녀,20051027,코미디,코미디,한국,한국
20050263,레전드 오브 조로,20051028,액션,액션,미국,미국
20050271,오로라 공주,20051027,"범죄,스릴러",범죄,한국,한국
20050276,"사랑해, 말순씨",20051103,드라마,드라마,한국,한국
20050277,40살까지 못해본 사람,20051104,"코미디,멜로/로맨스,드라마",코미디,미국,미국
20050278,월래스와 그로밋 : 거대토끼의 저주,20051104,"애니메이션,코미디,가족,어드벤처",애니메이션,영국,영국
20050280,미스터 소크라테스,20051110,액션,액션,한국,한국
20050283,"소년, 천국에 가다",20051111,드라마,드라마,한국,한국
20050284,도쿄타워,20051123,드라마,드라마,일본,일본
20050288,무영검,20051118,액션,액션,한국,한국
20050289,엘리자베스타운,20051118,"코미디,드라마,멜로/로맨스",코미디,미국,미국
20050290,로드 오브 워,20051118,"액션,드라마,범죄,스릴러",액션,미국,미국
20050291,그림형제 : 마르바덴 숲의 전설,20051117,"판타지,가족,어드벤처",판타지,미국,미국
20050292,광식이 동생 광태,20051123,코미디,코미디,한국,한국
20050305,나의 결혼원정기,20051123,드라마,드라마,한국,한국
20050306,애인,20051208,멜로/로맨스,멜로/로맨스,한국,한국
20050308,카리스마 탈출기,20060330,코미디,코미디,한국,한국
20050310,해리 포터와 불의 잔,20051201,"액션,판타지",액션,미국,미국
20050313,아치와 씨팍,20060628,"애니메이션,코미디,액션,SF,범죄",애니메이션,한국,한국
20050318,6월의 일기,20051201,"드라마,범죄",드라마,한국,한국
20050319,저스트 라이크 헤븐,20051201,"코미디,멜로/로맨스",코미디,미국,미국
20050320,둠,20051202,"액션,공포(호러),SF",액션,미국,미국
20050321,브로큰 플라워,,코미디,코미디,,
20050322,프라임 러브,20051208,"코미디,멜로/로맨스",코미디,미국,미국
20050324,킹콩,20051214,"드라마,어드벤처",드라마,미국,미국
20050326,태풍,20051214,"드라마,액션",드라마,한국,한국
20050330,작업의 정석,20051221,코미디,코미디,한국,한국
20050331,"우리, 사랑해도 되나요?",20051215,"멜로/로맨스,드라마,코미디",멜로/로맨스,미국,미국
20050332,파랑주의보,20051222,드라마,드라마,한국,한국
20050333,왕의 남자,20051229,드라마,드라마,한국,한국
20050338,"나니아 연대기-사자,마녀 그리고 옷장",20051229,"가족,어드벤처,판타지",가족,미국,미국
20050342,청연,20051229,드라마,드라마,한국,한국
20050344,여교수의 은밀한 매력,20060316,코미디,코미디,한국,한국
20050345,야수,20060112,액션,액션,한국,한국
20050346,싸움의 기술,20060105,코미디,코미디,한국,한국
20050349,홀리데이,20060119,"드라마,스릴러,범죄",드라마,한국,한국
20050350,데이지,20060309,멜로/로맨스,멜로/로맨스,"한국,네덜란드,홍콩",한국
20050351,쏘우 2,20060216,"공포(호러),스릴러",공포(호러),미국,미국
20050352,당신이 그녀라면,20060112,"코미디,드라마",코미디,미국,미국
20050353,퍼햅스 러브,20060105,뮤지컬,뮤지컬,홍콩,홍콩
20050354,사랑을 놓치다,20060126,"멜로/로맨스,드라마",멜로/로맨스,한국,한국
20050355,음란서생,20060223,"사극,코미디",사극,한국,한국
20050359,무극,20060126,"멜로/로맨스,액션,판타지",멜로/로맨스,중국,중국
20050360,내니맥피-우리 유모는 마법사,20060203,"코미디,가족",코미디,영국,영국
20050361,투 브라더스,20060120,"드라마,가족,어드벤처",드라마,"프랑스,영국",프랑스
20050362,게이샤의 추억,20060202,드라마,드라마,미국,미국
20050363,투사부일체,20060119,코미디,코미디,한국,한국
20050364,치킨리틀,20060126,"애니메이션,코미디,어드벤처",애니메이션,미국,미국
20051060,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,20250122,애니메이션,애니메이션,일본,일본
20058720,명탐정 코난 : 수평선상의 음모,20130807,애니메이션,애니메이션,일본,일본
20060005,맨발의 기봉이,20060426,"드라마,코미디,가족",드라마,한국,한국
20060015,백만장자의 첫사랑,20060209,"멜로/로맨스,코미디",멜로/로맨스,한국,한국
20060016,뮌헨,20060210,"스릴러,드라마,범죄",스릴러,미국,미국
20060017,흡혈형사 나도열,20060209,"코미디,드라마",코미디,한국,한국
20060018,빨간모자의 진실,20060406,"애니메이션,코미디",애니메이션,미국,미국
20060019,구세주,20060216,"코미디,액션,멜로/로맨스",코미디,한국,한국
